filename,entropy_bits,file_size_bytes
Autumn_foliage_2012_(8252565415).jpg,17.382979867338054,288196
Autumn_foliage_2012_(8252574085).jpg,17.330016994338095,305000
"Autumn_leaves,_Talcott_Mountain_State_Park.jpg",16.991802964174642,170621
Acer_saccharum_Equinox_Mountain_Vermont.jpg,16.940473602143364,216449
"Autumn_at_Hondo-ji_temple,_Chiba;_November_2017_(10).jpg",16.81341638283137,129222
2023-11-14_14_39_23_Norway_Maple_changing_color_and_shedding_leaves_in_autumn_along_Mountain_View_Road_in_the_.jpg,16.76657440262959,347785
"Autumn_Leaves_at_Blue_Mountains,_Australia.jpg",16.748296433088775,180478
Autumn_Leaves_begin_to_fall_Mt_Wilson-04_(26972121811).jpg,16.70278290315391,185343
Autumn_foliage_2012_(8252567245).jpg,16.56088840245105,114178
India_-_Chennai_-_busy_T._Nagar_market_2_(3059483658).jpg,16.508748219877425,132633
